;t;Ps;Ta;yTi;Thm
5893;2021-12-25 09:15:00;0.14722222222222223;-0.9;17.901666666666667;0.0
5894;2021-12-25 09:30:00;0.14722222222222223;-0.9;17.661538461538466;0.0
5895;2021-12-25 09:45:00;0.14722222222222223;-0.9;17.39923076923077;0.0
5896;2021-12-25 10:00:00;0.21944444444444444;-0.6;17.234166666666667;0.0
5897;2021-12-25 10:15:00;0.21944444444444444;-0.6;17.145999999999997;0.0
5898;2021-12-25 10:30:00;0.21944444444444444;-0.6;17.05818181818182;0.0
5899;2021-12-25 10:45:00;0.21944444444444444;-0.6;16.965;0.0
5900;2021-12-25 11:00:00;0.25277777777777777;0.1;16.892307692307693;0.0
5901;2021-12-25 11:15:00;0.25277777777777777;0.1;16.84153846153846;0.0
5902;2021-12-25 11:30:00;0.25277777777777777;0.1;16.80923076923077;0.0
5903;2021-12-25 11:45:00;0.25277777777777777;0.1;16.729166666666668;0.0
5904;2021-12-25 12:00:00;0.23055555555555554;0.2;16.647333333333332;0.0
5905;2021-12-25 12:15:00;0.23055555555555554;0.2;16.563076923076924;0.0
5906;2021-12-25 12:30:00;0.23055555555555554;0.2;16.522857142857145;0.0
5907;2021-12-25 12:45:00;0.23055555555555554;0.2;16.47307692307692;0.0
5908;2021-12-25 13:00:00;0.16388888888888892;-0.3;16.404166666666665;0.0
5909;2021-12-25 13:15:00;0.16388888888888892;-0.3;16.326363636363634;0.0
5910;2021-12-25 13:30:00;0.16388888888888892;-0.3;16.260833333333334;0.0
5911;2021-12-25 13:45:00;0.16388888888888892;-0.3;16.187857142857144;0.0
5912;2021-12-25 14:00:00;0.08611111111111111;-1.0;16.14692307692308;0.0
5913;2021-12-25 14:15:00;0.08611111111111111;-1.0;16.095;0.0
5914;2021-12-25 14:30:00;0.08611111111111111;-1.0;16.044166666666666;0.0
5915;2021-12-25 14:45:00;0.08611111111111111;-1.0;15.989230769230769;0.0
5916;2021-12-25 15:00:00;0.008333333333333333;-1.9;15.935454545454546;0.0
5917;2021-12-25 15:15:00;0.008333333333333333;-1.9;15.892727272727273;0.0
5918;2021-12-25 15:30:00;0.008333333333333333;-1.9;15.847272727272726;0.0
5919;2021-12-25 15:45:00;0.008333333333333333;-1.9;15.808333333333337;0.0
5920;2021-12-25 16:00:00;0.0;-2.0;15.76142857142857;0.0
5921;2021-12-25 16:15:00;0.0;-2.0;15.736666666666666;0.0
5922;2021-12-25 16:30:00;0.0;-2.0;15.675384615384614;0.0
5923;2021-12-25 16:45:00;0.0;-2.0;15.638;0.0
5924;2021-12-25 17:00:00;0.0;-2.3;15.614166666666668;0.0
5925;2021-12-25 17:15:00;0.0;-2.3;15.535;0.0
5926;2021-12-25 17:30:00;0.0;-2.3;15.515555555555558;0.0
5927;2021-12-25 17:45:00;0.0;-2.3;15.480909090909092;0.0
5928;2021-12-25 18:00:00;0.0;-2.9;15.428571428571425;0.0
5929;2021-12-25 18:15:00;0.0;-2.9;15.395000000000001;0.0
5930;2021-12-25 18:30:00;0.0;-2.9;15.343333333333332;0.0
5931;2021-12-25 18:45:00;0.0;-2.9;15.30777777777778;0.0
5932;2021-12-25 19:00:00;0.0;-3.4;15.285714285714288;0.0
5933;2021-12-25 19:15:00;0.0;-3.4;15.256923076923075;0.0
5934;2021-12-25 19:30:00;0.0;-3.4;15.202499999999999;0.0
5935;2021-12-25 19:45:00;0.0;-3.4;15.170999999999998;4.596064814814814
5936;2021-12-25 20:00:00;0.0;-3.5;15.153846153846157;4.824102564102565
5937;2021-12-25 20:15:00;0.0;-3.5;15.133333333333333;5.78363315696649
5938;2021-12-25 20:30:00;0.0;-3.5;15.121111111111112;6.5624492753623205
5939;2021-12-25 20:45:00;0.0;-3.5;15.080000000000002;8.399344262295083
5940;2021-12-25 21:00:00;0.0;-3.5;15.097999999999999;8.132093023255814
5941;2021-12-25 21:15:00;0.0;-3.5;15.036666666666669;10.257333333333333
5942;2021-12-25 21:30:00;0.0;-3.5;15.046363636363639;11.687924016282224
5943;2021-12-25 21:45:00;0.0;-3.5;15.026923076923076;11.815811965811966
5944;2021-12-25 22:00:00;0.0;-4.0;14.978181818181817;15.544795783926219
5945;2021-12-25 22:15:00;0.0;-4.0;14.959285714285713;16.172910447761197
5946;2021-12-25 22:30:00;0.0;-4.0;14.944166666666666;15.128716216216212
5947;2021-12-25 22:45:00;0.0;-4.0;14.926923076923076;17.20102564102564
5948;2021-12-25 23:00:00;0.0;-4.0;14.891666666666666;21.84637931034483
5949;2021-12-25 23:15:00;0.0;-4.0;14.863636363636363;22.350257289879934
5950;2021-12-25 23:30:00;0.0;-4.0;14.9775;15.027534246575344
5951;2021-12-25 23:45:00;0.0;-4.0;14.957499999999998;14.867304687499999
5952;2021-12-26 00:00:00;0.0;-4.0;14.889166666666668;19.0507960199005
5953;2021-12-26 00:15:00;0.0;-4.0;14.866000000000003;23.935227272727275
5954;2021-12-26 00:30:00;0.0;-4.0;14.91;19.403835616438354
5955;2021-12-26 00:45:00;0.0;-4.0;14.891111111111112;21.750710382513656
5956;2021-12-26 01:00:00;0.0;-4.3;14.895384615384614;21.14538461538461
5957;2021-12-26 01:15:00;0.0;-4.3;14.883076923076922;20.84199095022624
5958;2021-12-26 01:30:00;0.0;-4.3;14.87923076923077;23.517575757575752
5959;2021-12-26 01:45:00;0.0;-4.3;14.938181818181816;16.977727272727275
5960;2021-12-26 02:00:00;0.0;-4.5;14.895833333333334;20.541805555555555
5961;2021-12-26 02:15:00;0.0;-4.5;14.877777777777778;20.55238095238095
5962;2021-12-26 02:30:00;0.0;-4.5;14.945999999999998;18.720774193548383
5963;2021-12-26 02:45:00;0.0;-4.5;14.878888888888888;21.687096774193552
5964;2021-12-26 03:00:00;0.0;-4.3;14.893846153846154;21.820599739243807
5965;2021-12-26 03:15:00;0.0;-4.3;14.92230769230769;18.70934065934066
5966;2021-12-26 03:30:00;0.0;-4.3;14.875454545454545;21.99962121212121
5967;2021-12-26 03:45:00;0.0;-4.3;14.927777777777777;19.408674463937622
5968;2021-12-26 04:00:00;0.0;-4.4;14.865;22.10837288135593
5969;2021-12-26 04:15:00;0.0;-4.4;14.908888888888887;17.973333333333333
5970;2021-12-26 04:30:00;0.0;-4.4;14.863076923076923;21.615443786982244
5971;2021-12-26 04:45:00;0.0;-4.4;14.888750000000002;18.56895491803279
5972;2021-12-26 05:00:00;0.0;-4.6;14.868333333333334;24.494387755102036
5973;2021-12-26 05:15:00;0.0;-4.6;14.881000000000004;20.599774193548388
5974;2021-12-26 05:30:00;0.0;-4.6;14.86625;19.896428571428565
5975;2021-12-26 05:45:00;0.0;-4.6;14.87769230769231;22.27257142857143
5976;2021-12-26 06:00:00;0.0;-4.3;14.853;18.75153846153846
5977;2021-12-26 06:15:00;0.0;-4.3;14.883333333333331;21.824383561643835
5978;2021-12-26 06:30:00;0.0;-4.3;14.83625;25.61764705882353
5979;2021-12-26 06:45:00;0.0;-4.3;14.857;22.997826086956522
5980;2021-12-26 07:00:00;0.0;-4.6;14.885833333333332;21.38756613756614
5981;2021-12-26 07:15:00;0.0;-4.6;14.822;24.875500000000002
5982;2021-12-26 07:30:00;0.0;-4.6;14.82;25.069999999999997
5983;2021-12-26 07:45:00;0.0;-4.6;14.826666666666666;25.163111111111117
5984;2021-12-26 08:00:00;0.041666666666666664;-3.6;14.81;25.985454545454537
5985;2021-12-26 08:15:00;0.041666666666666664;-3.6;14.796666666666669;24.208756218905474
5986;2021-12-26 08:30:00;0.041666666666666664;-3.6;14.80375;29.232716417910446
5987;2021-12-26 08:45:00;0.041666666666666664;-3.6;15.036428571428571;38.18181818181819
5988;2021-12-26 09:00:00;0.125;-1.9;15.561333333333334;40.88888888888889
5989;2021-12-26 09:15:00;0.125;-1.9;15.942307692307692;41.125
5990;2021-12-26 09:30:00;0.125;-1.9;16.175;44.98360655737705
5991;2021-12-26 09:45:00;0.125;-1.9;16.194285714285712;43.0
5992;2021-12-26 10:00:00;0.18888888888888888;-0.4;16.27875;33.6
5993;2021-12-26 10:15:00;0.18888888888888888;-0.4;16.403076923076924;42.0
5994;2021-12-26 10:30:00;0.18888888888888888;-0.4;16.500833333333336;37.333333333333336
5995;2021-12-26 10:45:00;0.18888888888888888;-0.4;16.61666666666667;40.25
5996;2021-12-26 11:00:00;0.11111111111111112;0.0;16.68642857142857;40.0
5997;2021-12-26 11:15:00;0.11111111111111112;0.0;16.749166666666667;39.03030303030303
5998;2021-12-26 11:30:00;0.11111111111111112;0.0;16.79909090909091;36.61538461538461
5999;2021-12-26 11:45:00;0.11111111111111112;0.0;16.895454545454545;39.74193548387097
6000;2021-12-26 12:00:00;0.09722222222222222;0.2;16.981666666666666;39.375
6001;2021-12-26 12:15:00;0.09722222222222222;0.2;17.10230769230769;39.47540983606557
6002;2021-12-26 12:30:00;0.09722222222222222;0.2;17.299999999999997;45.333333333333336
6003;2021-12-26 12:45:00;0.09722222222222222;0.2;17.57916666666667;39.86440677966102
6004;2021-12-26 13:00:00;0.05;0.5;17.895;38.37037037037037
6005;2021-12-26 13:15:00;0.05;0.5;18.198461538461537;34.53333333333333
6006;2021-12-26 13:30:00;0.05;0.5;18.44454545454545;37.333333333333336
6007;2021-12-26 13:45:00;0.05;0.5;18.825714285714287;37.932655367231646
6008;2021-12-26 14:00:00;0.01944444444444444;0.8;19.047333333333334;24.830261261261263
6009;2021-12-26 14:15:00;0.01944444444444444;0.8;18.81714285714286;43.66101694915255
6010;2021-12-26 14:30:00;0.01944444444444444;0.8;18.723636363636363;42.22950819672131
6011;2021-12-26 14:45:00;0.01944444444444444;0.8;18.716666666666665;38.5
6012;2021-12-26 15:00:00;0.005555555555555556;0.9;18.779999999999998;42.45161290322581
6013;2021-12-26 15:15:00;0.005555555555555556;0.9;18.795833333333334;39.29824561403508
6014;2021-12-26 15:30:00;0.005555555555555556;0.9;18.824166666666667;36.36521739130434
6015;2021-12-26 15:45:00;0.005555555555555556;0.9;18.913076923076922;32.79956896551724
6016;2021-12-26 16:00:00;0.0;0.6;18.935000000000002;41.6
6017;2021-12-26 16:15:00;0.0;0.6;19.123076923076923;39.630769230769225
6018;2021-12-26 16:30:00;0.0;0.6;19.326666666666668;42.658974358974355
6019;2021-12-26 16:45:00;0.0;0.6;19.384545454545457;39.51066536203522
6020;2021-12-26 17:00:00;0.0;0.8;19.627499999999994;20.808965517241376
6021;2021-12-26 17:15:00;0.0;0.8;19.56642857142857;21.83914285714285
6022;2021-12-26 17:30:00;0.0;0.8;19.38083333333333;35.499355468750004
6023;2021-12-26 17:45:00;0.0;0.8;19.493636363636362;37.29085227272727
6024;2021-12-26 18:00:00;0.0;1.0;19.258;38.705882352941174
6025;2021-12-26 18:15:00;0.0;1.0;19.021250000000002;38.69090909090909
6026;2021-12-26 18:30:00;0.0;1.0;18.99769230769231;43.07692307692307
6027;2021-12-26 18:45:00;0.0;1.0;19.010833333333334;42.0
6028;2021-12-26 19:00:00;0.0;1.3;18.93857142857143;37.04615384615384
6029;2021-12-26 19:15:00;0.0;1.3;18.9425;37.6551724137931
6030;2021-12-26 19:30:00;0.0;1.3;18.920833333333334;41.1764705882353
6031;2021-12-26 19:45:00;0.0;1.3;18.91714285714286;44.0655737704918
6032;2021-12-26 20:00:00;0.0;1.7;18.95692307692308;39.199999999999996
6033;2021-12-26 20:15:00;0.0;1.7;19.113846153846154;43.2
6034;2021-12-26 20:30:00;0.0;1.7;19.245714285714286;41.31147540983606
6035;2021-12-26 20:45:00;0.0;1.7;19.298;40.55172413793103
6036;2021-12-26 21:00:00;0.0;1.6;19.435384615384613;38.95652173913044
6037;2021-12-26 21:15:00;0.0;1.6;19.501666666666665;41.77777777777778
6038;2021-12-26 21:30:00;0.0;1.6;19.514166666666668;34.78787878787879
6039;2021-12-26 21:45:00;0.0;1.6;19.514545454545456;47.111111111111114
6040;2021-12-26 22:00:00;0.0;1.4;19.52076923076923;0.0
6041;2021-12-26 22:15:00;0.0;1.4;19.342142857142854;0.0
6042;2021-12-26 22:30:00;0.0;1.4;19.06692307692308;0.0
6043;2021-12-26 22:45:00;0.0;1.4;18.588;0.0
6044;2021-12-26 23:00:00;0.0;1.4;18.024666666666672;0.0
6045;2021-12-26 23:15:00;0.0;1.4;17.79153846153846;0.0
6046;2021-12-26 23:30:00;0.0;1.4;17.555;0.0
6047;2021-12-26 23:45:00;0.0;1.4;17.229285714285716;0.0
6048;2021-12-27 00:00:00;0.0;2.0;17.052307692307696;0.0
6049;2021-12-27 00:15:00;0.0;2.0;16.90636363636364;0.0
6050;2021-12-27 00:30:00;0.0;2.0;16.7625;0.0
6051;2021-12-27 00:45:00;0.0;2.0;16.661538461538463;0.0
6052;2021-12-27 01:00:00;0.0;2.2;16.575714285714287;0.0
6053;2021-12-27 01:15:00;0.0;2.2;16.514285714285712;0.0
6054;2021-12-27 01:30:00;0.0;2.2;16.402142857142856;39.666666666666664
6055;2021-12-27 01:45:00;0.0;2.2;16.584666666666667;21.7
6056;2021-12-27 02:00:00;0.0;2.6;17.147142857142857;0.0
6057;2021-12-27 02:15:00;0.0;2.6;16.959230769230768;0.0
6058;2021-12-27 02:30:00;0.0;2.6;16.766363636363636;39.09433962264151
6059;2021-12-27 02:45:00;0.0;2.6;17.189333333333334;24.51162790697674
6060;2021-12-27 03:00:00;0.0;2.9;17.436;0.0
6061;2021-12-27 03:15:00;0.0;2.9;17.18;40.13333333333333
6062;2021-12-27 03:30:00;0.0;2.9;17.059166666666666;38.76923076923077
6063;2021-12-27 03:45:00;0.0;2.9;17.473333333333333;0.0
